"id","postal_code","center_lat","center_lng","zoom","full_name"
1,"AL",32.7794,-86.8287,7,"Alabama"
2,"AK",64.0685,-152.2782,4,"Alaska"
3,"AZ",34.2744,-111.6602,6,"Arizona"
4,"AR",34.8938,-92.4426,7,"Arkansas"
5,"CA",37.1841,-119.4696,5,"California"
6,"CO",38.9972,-105.5478,7,"Colorado"
7,"CT",41.6219,-72.7273,8,"Connecticut"
8,"DE",38.9896,-75.505,8,"Delaware"
9,"FL",28.6305,-82.4497,6,"Florida"
10,"GA",32.6415,-83.4426,7,"Georgia"
11,"HI",20.2927,-156.3737,7,"Hawaii"
12,"ID",44.3509,-114.613,6,"Idaho"
13,"IL",40.0417,-89.1965,6,"Illinois"
14,"IN",39.8942,-86.2816,7,"Indiana"
15,"IA",42.0751,-93.496,7,"Iowa"
16,"KS",38.4937,-98.3804,7,"Kansas"
17,"KY",37.5347,-85.3021,7,"Kentucky"
18,"LA",31.0689,-91.9968,7,"Louisiana"
19,"ME",45.3695,-69.2428,7,"Maine"
20,"MD",39.055,-76.7909,8,"Maryland"
21,"MA",42.2596,-71.8083,8,"Massachusetts"
22,"MI",44.3467,-85.4102,6,"Michigan"
23,"MN",46.2807,-94.3053,6,"Minnesota"
24,"MS",32.7364,-89.6678,7,"Mississippi"
25,"MO",38.3566,-92.458,7,"Missouri"
26,"MT",47.0527,-109.6333,6,"Montana"
27,"NE",41.5378,-99.7951,7,"Nebraska"
28,"NV",39.3289,-116.6312,6,"Nevada"
29,"NH",43.6805,-71.5811,8,"New Hampshire"
30,"NJ",40.1907,-74.6728,8,"New Jersey"
31,"NM",34.4071,-106.1126,6,"New Mexico"
32,"NY",42.9538,-75.5268,7,"New York"
33,"NC",35.5557,-79.3877,7,"North Carolina"
34,"ND",47.4501,-100.4659,7,"North Dakota"
35,"OH",40.2862,-82.7937,7,"Ohio"
36,"OK",35.5889,-97.4943,7,"Oklahoma"
37,"OR",43.9336,-120.5583,7,"Oregon"
38,"PA",40.8781,-77.7996,7,"Pennsylvania"
39,"RI",41.6762,-71.5562,9,"Rhode Island"
40,"SC",33.9169,-80.8964,7,"South Carolina"
41,"SD",44.4443,-100.2263,7,"South Dakota"
42,"TN",35.858,-86.3505,7,"Tennessee"
43,"TX",31.4757,-99.3312,6,"Texas"
44,"UT",39.3055,-111.6703,6,"Utah"
45,"VT",44.0687,-72.6658,7,"Vermont"
46,"VA",37.5215,-78.8537,7,"Virginia"
47,"WA",47.3826,-120.4472,7,"Washington"
48,"WV",38.6409,-80.6227,7,"West Virginia"
49,"WI",44.6243,-89.9941,7,"Wisconsin"
50,"WY",42.9957,-107.5512,7,"Wyoming"
